product_id,item_name,category,flavor,description,weight,serves,calories,price,dietary,occasion,taste_profile,recommendation,available_quantity,discount
111,Chocolate Cupcake,Cupcake,Chocolate,"A soft and moist chocolate cupcake topped with smooth creamy frosting. Rich, chocolaty and perfectly portioned for a delicious little indulgence.",100 g,1,360,80,Eggless,Party; Snack; Gift,Chocolaty; Creamy; Soft,Quick Snack; Chocolate Lovers,3,0
112,Red Velvet Cupcake,Cupcake,Red Velvet,A soft and velvety red velvet cupcake topped with luscious creamy frosting. A delightful individual treat with a delicate cocoa flavor.,100 g,1,340,90,Eggless,Party; Gift; Snack,Creamy; Mild Cocoa; Soft,Gift; Snack,2,20
113,Vanilla Cupcake,Cupcake,Vanilla,"A fluffy vanilla cupcake topped with silky creamy frosting. Light, delicate and wonderfully comforting, making it a perfect everyday sweet treat.",100 g,1,320,70,Eggless,Party; Snack; Gift,Vanilla; Soft; Creamy,Kids; Classic Snack,5,20
114,Oreo Cupcake,Cupcake,Oreo,A soft chocolate cupcake packed with Oreo goodness and topped with creamy Oreo frosting and crunchy cookie crumbs.,100 g,1,380,90,Eggless,Kids Party; Birthday; Snack,Chocolate; Creamy; Crunchy,Kids; Oreo Lovers,6,0
115,Strawberry Cupcake,Cupcake,Strawberry,"A fluffy cupcake infused with sweet strawberry flavor and finished with smooth creamy frosting. Fruity, colorful and delightful.",100 g,1,330,85,Eggless,Party; Birthday; Gift,Fruity; Sweet; Creamy,Fruit Lovers; Kids,1,0
116,Butterscotch Cupcake,Cupcake,Butterscotch,"A soft cupcake topped with creamy butterscotch frosting and crunchy caramel pieces. Sweet, buttery and irresistibly crunchy.",100 g,1,370,85,Eggless,Party; Birthday; Snack,Caramel; Buttery; Crunchy,Caramel Lovers,6,0
117,Blueberry Cupcake,Cupcake,Blueberry,A soft vanilla cupcake with refreshing blueberry flavor and creamy frosting. A delightful combination of fruity freshness and sweetness.,100 g,1,325,90,Eggless,Party; Gift; Snack,Fruity; Fresh; Creamy,Fruit Lovers,2,0
118,Black Forest Cupcake,Cupcake,Chocolate & Cherry,"A mini Black Forest treat with soft chocolate sponge, creamy frosting and delicious cherry flavor. A perfect individual version of the classic cake.",100 g,1,350,90,Eggless,Party; Birthday; Celebration,Chocolate; Cherry; Creamy,Birthday; Chocolate Lovers,6,0
119,Salted Caramel Cupcake,Cupcake,Salted Caramel,"A luxurious cupcake combining soft vanilla sponge, creamy caramel frosting and a delicate hint of sea salt for a perfectly balanced sweet-and-salty experience.",100 g,1,360,100,Eggless,Gift; Party; Premium Celebration,Caramel; Sweet-Salty; Creamy,Premium Gift; Caramel Lovers,3,5
120,Ferrero Rocher Cupcake,Cupcake,Chocolate & Hazelnut,A rich chocolate cupcake filled with creamy chocolate-hazelnut goodness and topped with luxurious frosting and hazelnut crunch.,100 g,1,400,120,Eggless,Gift; Premium Celebration; Party,Rich; Nutty; Chocolaty,Premium Gift; Chocolate Lovers,2,5
121,Classic Chocolate Brownie,Brownie,Chocolate,A rich and fudgy chocolate brownie with an intensely chocolaty flavor and wonderfully soft center. Perfect for satisfying chocolate cravings.,100 g,1,420,90,Eggless,Snack; Gift; Party,Rich; Fudgy; Chocolaty,Chocolate Lovers; Quick Snack,6,6
122,Walnut Brownie,Brownie,Chocolate & Walnut,A rich fudgy chocolate brownie loaded with crunchy walnut pieces. The perfect combination of deep chocolate flavor and nutty crunch.,100 g,1,450,110,Eggless,Gift; Snack; Party,Fudgy; Chocolaty; Nutty; Crunchy,Nut Lovers; Chocolate Lovers,0,0
123,Choco Chip Brownie,Brownie,Chocolate Chip,A soft and fudgy chocolate brownie generously filled with delicious chocolate chips for an extra burst of chocolate in every bite.,100 g,1,440,100,Eggless,Snack; Party; Kids Celebration,Chocolaty; Fudgy; Soft,Kids; Chocolate Lovers,1,0
124,Oreo Brownie,Brownie,Chocolate & Oreo,A decadent fudgy brownie loaded with crunchy Oreo cookie pieces. Rich chocolate and creamy cookie flavor come together in every bite.,100 g,1,460,110,Eggless,Kids Party; Birthday; Snack,Chocolate; Fudgy; Crunchy,Kids; Oreo Lovers,3,0
125,Fudge Brownie,Brownie,Chocolate,"An ultra-rich chocolate fudge brownie with a dense, moist and irresistibly fudgy center. A dream dessert for serious chocolate lovers.",100 g,1,430,100,Eggless,Snack; Gift; Celebration,Dense; Fudgy; Rich,Chocolate Lovers,5,0
126,Nutella Brownie,Brownie,Chocolate & Hazelnut,"A luxurious fudgy brownie infused with creamy Nutella-style chocolate-hazelnut flavor. Rich, smooth and deeply indulgent.",100 g,1,470,130,Eggless,Gift; Premium Celebration; Snack,Hazelnut; Chocolaty; Fudgy; Creamy,Premium Gift; Chocolate Lovers,2,0
127,Triple Chocolate Brownie,Brownie,Triple Chocolate,"A decadent brownie made for true chocolate lovers, combining rich cocoa, chocolate chunks and a luxurious chocolate topping.",100 g,1,490,130,Eggless,Gift; Celebration; Party,Intensely Chocolaty; Rich; Fudgy,Serious Chocolate Lovers,4,0
128,Salted Caramel Brownie,Brownie,Chocolate & Salted Caramel,"A rich chocolate brownie topped with luscious salted caramel, creating an irresistible balance of deep chocolate richness and sweet-salty caramel.",100 g,1,460,120,Eggless,Gift; Premium Celebration,Chocolate; Caramel; Sweet-Salty,Premium Gift; Caramel Lovers,1,0
129,Red Velvet Brownie,Brownie,Red Velvet,A soft and chewy red velvet brownie with a delicate cocoa flavor and creamy topping. A beautiful twist on the classic red velvet dessert.,100 g,1,400,110,Eggless,Gift; Party; Celebration,Mild Cocoa; Creamy; Soft,Red Velvet Lovers,4,30
130,Chocolate Pastry,Pastry,Chocolate,"A tempting chocolate pastry made with soft moist chocolate layers, smooth cream and a rich chocolate topping. A delicious treat for any time of the day.",120 g,1,400,100,Eggless,Snack; Party; Gift,Chocolaty; Creamy; Soft,Quick Snack; Chocolate Lovers,3,10
131,Black Forest Pastry,Pastry,Chocolate & Cherry,"A delightful Black Forest pastry featuring soft chocolate sponge, creamy layers and delicious cherry flavor. A classic treat in a convenient single serving.",120 g,1,380,100,Eggless,Snack; Gift; Party,Chocolate; Cherry; Creamy,Fruit Lovers; Chocolate Lovers,2,5
132,Red Velvet Pastry,Pastry,Red Velvet,"A soft red velvet pastry layered with smooth creamy frosting. Elegant, delicate and perfect for a quick indulgent dessert.",120 g,1,390,110,Eggless,Gift; Snack; Celebration,Creamy; Mild Cocoa; Soft,Gift; Red Velvet Lovers,3,5
133,Pineapple Pastry,Pastry,Pineapple,"A light and creamy pineapple pastry featuring soft sponge, smooth cream and refreshing pineapple flavor. Fruity, delicate and satisfying.",120 g,1,330,90,Eggless,Snack; Party; Gift,Fruity; Fresh; Creamy,Fruit Lovers; Light Dessert,4,0
134,Strawberry Pastry,Pastry,Strawberry,"A soft and fluffy pastry layered with creamy frosting and delicious strawberry flavor. Fresh, fruity and wonderfully light.",120 g,1,350,95,Eggless,Snack; Gift; Celebration,Fruity; Creamy; Sweet,Fruit Lovers; Gift,2,0
135,Vanilla Pastry,Pastry,Vanilla,"A delicate vanilla pastry made with soft sponge and smooth creamy frosting. Simple, elegant and perfect for a light sweet craving.",120 g,1,320,85,Eggless,Snack; Party; Gift,Vanilla; Soft; Creamy,Classic Choice; Light Dessert,5,0
136,Butterscotch Pastry,Pastry,Butterscotch,"A creamy butterscotch pastry made with soft sponge, caramelized butterscotch pieces and smooth frosting. Sweet, buttery and crunchy.",120 g,1,370,95,Eggless,Snack; Party; Gift,Caramel; Creamy; Crunchy,Caramel Lovers,2,0
137,Oreo Pastry,Pastry,Oreo,"A delicious Oreo pastry combining soft chocolate sponge, creamy Oreo filling and crunchy cookie crumbs. Rich and irresistible.",120 g,1,410,110,Eggless,Kids Party; Snack; Gift,Chocolate; Creamy; Crunchy,Kids; Oreo Lovers,3,0
138,Blueberry Pastry,Pastry,Blueberry,"A refreshing blueberry pastry with soft sponge, smooth cream and delicious blueberry flavor. Fruity, creamy and beautifully balanced.",120 g,1,340,100,Eggless,Gift; Party; Snack,Fruity; Fresh; Creamy,Fruit Lovers,3,0
139,KitKat Chocolate Pastry,Pastry,Chocolate,A rich chocolate pastry topped with creamy chocolate frosting and crunchy KitKat pieces. A fun and indulgent choice for chocolate lovers.,120 g,1,420,120,Eggless,Kids Party; Birthday; Snack,Chocolate; Crunchy; Creamy,Kids; Chocolate Lovers,7,0
140,Ferrero Rocher Pastry,Pastry,Chocolate & Hazelnut,"A premium chocolate pastry with creamy chocolate-hazelnut filling and luxurious nutty topping. Rich, elegant and perfect for special moments.",120 g,1,450,140,Eggless,Gift; Anniversary; Premium Celebration,Chocolaty; Nutty; Creamy,Premium Gift; Anniversary,2,0
141,Coffee Pastry,Pastry,Coffee,A soft and creamy coffee pastry with a delicate coffee aroma and rich creamy layers. Perfect for coffee lovers who enjoy a mildly indulgent dessert.,120 g,1,350,110,Eggless,Snack; Gift; Celebration,Coffee; Creamy; Mild,Coffee Lovers; Adults,1,0
142,Mango Pastry,Pastry,Mango,"A refreshing mango pastry made with soft sponge, creamy layers and delicious mango flavor. Fruity, tropical and perfect for a fresh dessert experience.",120 g,1,340,100,Eggless,Party; Celebration; Snack,Mango; Fruity; Fresh; Creamy,Fruit Lovers; Summer Treat,4,0
143,White Forest Pastry,Pastry,Vanilla & Cherry,"A delicate white forest pastry made with soft vanilla sponge, creamy frosting and delightful cherry pieces. Light, creamy and elegant.",120 g,1,360,105,Eggless,Birthday; Gift; Celebration,Vanilla; Cherry; Creamy,Classic Celebration; Fruit Lovers,2,0
